case_id,L_m,phi_deg,d_m,rho_ohm_m
2,14.0413,268.316701,0.726049,61.407873
3,21.533817,15.046745,1.381049,53.723771
5,8.030331,33.952834,1.47687,697.899665
6,8.592115,283.307564,0.590788,1180.488042
9,11.381363,74.530715,1.487649,109.617127
20,24.739496,356.614277,0.70935,1379.862998
25,23.4142,310.262101,0.744422,202.328638
32,29.143419,280.255754,1.41714,62.510018
38,29.473849,44.964657,0.682304,81.554617
59,18.399464,142.161388,0.835498,408.302638
66,8.672005,290.806169,1.34547,89.80504
69,13.603327,10.257719,0.549182,214.363305
92,29.721764,49.80871,1.234327,207.92113
93,24.997352,4.052279,0.73084,1732.097875
94,10.16307,198.126528,1.094839,1939.292065
98,26.596417,186.108681,1.372875,619.948044
