case_id,L_m,phi_deg,d_m,rho_ohm_m
1,26.889729,346.316817,0.964042,126.974649
4,28.303403,307.900597,1.065521,229.784964
7,8.382994,333.072445,1.089376,224.933789
8,17.162339,65.462007,1.02453,1426.627405
10,20.066874,209.868145,0.716852,337.641079
11,12.492703,161.361222,1.011738,260.518292
12,28.73319,223.196401,0.647914,1493.887067
13,22.361342,258.570195,0.908166,55.873578
14,15.029786,230.856932,1.313653,181.961993
15,15.137324,217.967485,1.435132,101.348173
16,13.140551,0.767117,1.45677,194.448236
17,21.899965,53.402895,1.461091,58.425015
18,23.204117,121.772384,1.286755,281.759222
19,23.69103,226.755985,1.172319,605.306083
21,11.003717,19.692697,0.767089,975.294443
22,17.252859,131.153101,0.814386,74.841714
23,11.635609,260.998389,0.754598,151.509355
24,15.550772,127.624111,1.005576,108.338601
26,19.116683,64.437066,0.522902,271.087771
27,14.681239,27.75663,0.798779,1896.045222
28,25.428763,165.76137,1.296217,55.722454
29,15.719923,115.941654,0.785188,1230.16344
30,12.831879,329.067921,1.072071,678.677847
31,12.355127,114.085904,1.499745,868.756651
33,21.030248,58.288619,0.694362,1041.267743
34,18.081884,203.269744,1.10728,1307.315743
35,23.066089,252.258829,1.207188,992.930836
36,18.772919,335.762374,0.629891,1482.616097
37,22.877576,189.167349,1.360139,357.330212
39,27.648455,155.952512,0.673903,303.144087
40,16.876364,180.020188,1.252611,308.93183
41,26.327372,100.350337,0.615825,284.01754
42,13.842101,179.291385,0.959049,93.905579
43,17.484881,86.864773,1.264063,1115.9753
44,9.178638,152.482288,0.849649,774.211873
45,8.897824,286.482099,1.124427,51.12564
46,20.568083,236.327148,1.273072,317.141496
47,23.9455,264.075212,1.039136,90.934848
48,25.770656,41.102102,1.049045,1638.168068
49,16.347817,213.780934,0.650347,561.335765
50,19.301344,197.086316,0.605134,1244.41734
51,29.02057,173.058982,0.914676,651.633741
52,12.039005,271.804384,0.898604,166.467059
53,16.554655,145.465008,0.639344,428.273831
54,22.288241,242.834976,0.935998,812.951495
55,9.884765,93.183524,1.184295,477.785474
56,24.569948,150.846001,0.588406,138.159632
57,25.275381,351.319709,1.304827,497.02443
58,10.803895,292.934788,0.872361,71.82595
60,18.979547,38.65804,0.555523,245.371054
61,22.604304,106.994048,1.240798,122.380785
62,10.507507,316.84306,0.503031,905.449459
63,16.67051,355.507746,1.229757,241.784067
64,20.407288,13.32297,0.851171,929.17137
65,26.25863,245.320607,1.192396,742.640664
67,21.680709,300.837109,1.320485,1076.014632
68,11.879073,321.99155,0.779404,517.129388
70,20.876773,32.238025,0.801814,541.785081
71,14.45098,303.327397,1.211952,380.561631
72,9.374317,228.898061,0.975506,343.916135
73,12.981895,103.391434,1.427427,68.08256
74,15.99766,164.397855,0.531079,100.744303
75,27.431642,171.113164,1.338048,75.895587
76,13.316707,207.658228,0.940582,79.031329
77,21.240732,275.273385,1.391885,135.015769
78,10.274517,339.314197,1.156509,366.975516
79,19.753701,135.878084,1.407996,119.390608
80,17.757161,124.126921,0.867037,1556.844276
81,18.221071,296.317317,0.569428,172.157197
82,27.96107,239.209282,0.823262,468.654494
83,27.045939,251.33809,0.510135,1831.259863
84,9.647934,84.015138,0.999374,713.095523
85,19.620435,316.742656,0.664395,158.246524
86,26.032996,108.493011,1.358578,572.091496
87,20.178557,22.221276,0.885535,65.479914
88,29.860839,81.841477,0.989832,85.289653
89,15.409649,343.952879,1.135179,178.707112
90,28.482066,190.901256,1.057324,149.767851
91,27.312843,69.688473,1.444667,144.205812
95,24.122665,324.456032,0.578446,1707.226201
96,28.164204,96.19813,1.149488,838.252873
97,14.240495,57.134209,1.165724,453.96529
99,11.226411,78.107523,1.118162,420.904163
100,24.309706,137.385106,0.929347,115.059634
