run_order,case_id,L_m,phi_deg,d_m,rho_ohm_m,status,elapsed_s,V_min,V_max,V_rms,V_terminal,message
1,1,26.889729,346.316817,0.964042,126.974649,SKIPPED_VALID,NaN,0.333958313114264,4.68862043731135,1.24363328385878,7.39534139397304,
2,4,28.303403,307.900597,1.065521,229.784964,SKIPPED_VALID,NaN,0.582785009638207,7.95601901760914,2.22639799680487,12.7206802407098,
3,7,8.382994,333.072445,1.089376,224.933789,SKIPPED_VALID,NaN,0.695001393474585,16.8242300948138,2.39950307591048,32.5007107992205,
4,8,17.162339,65.462007,1.02453,1426.627405,SKIPPED_VALID,NaN,4.03754474539498,69.5392109677259,14.7734686516,118.428956620976,
5,10,20.066874,209.868145,0.716852,337.641079,SKIPPED_VALID,NaN,0.925760753405454,16.5535365589483,3.52273666846843,25.6017439130717,
6,11,12.492703,161.361222,1.011738,260.518292,SKIPPED_VALID,NaN,0.77540485106234,15.9018788270383,2.76032183727527,27.8150499260282,
7,12,28.73319,223.196401,0.647914,1493.887067,SKIPPED_VALID,NaN,3.77057470500842,57.2743273013004,14.8610089353317,85.5071877893679,
8,13,22.361342,258.570195,0.908166,55.873578,SKIPPED_VALID,NaN,0.153189886133811,2.40591216866598,0.565688836977941,3.79756880992779,
9,14,15.029786,230.856932,1.313653,181.961993,SKIPPED_VALID,NaN,0.521708553182029,8.66590004250959,1.86595349633738,16.3798215754046,
10,15,15.137324,217.967485,1.435132,101.348173,SKIPPED_VALID,NaN,0.290286570045831,4.7255567625359,1.02991980228647,8.99585417137963,
11,16,13.140551,0.767117,1.45677,194.448236,SKIPPED_VALID,NaN,0.587659505957998,9.94028167440375,1.98855610590088,19.262302701259,
12,17,21.899965,53.402895,1.461091,58.425015,SKIPPED_VALID,NaN,0.156859614168486,2.17911229904747,0.572770953019121,3.86113785673805,
13,18,23.204117,121.772384,1.286755,281.759222,SKIPPED_VALID,NaN,0.74964432881596,10.5591103887433,2.77278658546307,17.9901465155992,
14,19,23.69103,226.755985,1.172319,605.306083,SKIPPED_VALID,NaN,1.59709258460052,22.8008147342283,5.98910395144995,38.3432063568203,
