method,noise_pct_RMS,N_cases,N_rows,joint_success_fraction,CI95_low,CI95_high,median_endpoint_m,P90_endpoint_m,max_endpoint_m,median_depth_m,P90_depth_m,max_depth_m,median_phi_deg,P90_phi_deg,max_phi_deg
Active,0,84,84,1,1,1,0.0222010341764303,0.0324999203478336,0.0453333053731752,0.00327788731363344,0.005880843259137,0.0106191563844065,0.00811497967954722,0.0243367754835234,0.0735488495571985
Active,0.1,84,2520,1,1,1,0.0220137645607506,0.0321069236983767,0.0513507950668561,0.00322015004699527,0.00599312877286144,0.0115141088234934,0.00890317382847172,0.0265044196339176,0.097069568346285
Active,0.25,84,2520,0.998412698412699,0.995634920634921,1,0.0220803681059099,0.0337367257655286,0.0586434545637758,0.00319060886642697,0.00654012028371498,0.0132355555382238,0.0112394310946309,0.0316532373276104,0.115855009966026
Active,0.5,84,2520,0.98968253968254,0.981746031746032,0.996428571428571,0.0227456861775811,0.0380918693913886,0.0834100357848136,0.00340064757181774,0.00811177729047354,0.0215549379880318,0.0160745878933568,0.0452271633676986,0.161641207926721
Active,1,84,2520,0.937698412698413,0.915079365079365,0.957936507936508,0.0263335136074439,0.0503820104750109,0.107961024776981,0.00445892622271332,0.011591494319191,0.0351679470340174,0.0275334556356075,0.0845058442370742,0.264000812115682
Active,2,84,2520,0.732936507936508,0.68531746031746,0.778571428571429,0.0398892197933904,0.0820986318726205,0.189536712504085,0.00778380840036952,0.0222918270447063,0.0735993147650262,0.0560380391310247,0.160847076607956,0.793768911572954
Space,0,84,84,0.797619047619048,0.714285714285714,0.880952380952381,0.0120475259325477,0.0242388578166844,0.035576834682577,0.0219836362824971,0.0650071202324629,0.135685967370703,0.0153255174405728,0.0365540191928858,0.0936438778277875
Space,0.1,84,2520,0.690873015873016,0.634117063492063,0.748809523809524,0.0254657802213615,0.0523080469634015,0.144431042406838,0.0285272746208686,0.0898345558468799,0.250643971299868,0.0272791426011736,0.0766248525526848,0.22065570175522
Space,0.25,84,2520,0.429761904761905,0.386894841269841,0.474603174603175,0.0528172983038819,0.118251813151649,0.308712139812815,0.0446868133074895,0.159014979798632,0.546883454678276,0.0587973875112056,0.163740967535797,0.457563155696718
Space,0.5,84,2520,0.186507936507937,0.161894841269841,0.214285714285714,0.100368971716632,0.230210906856992,0.642091126563633,0.0771907046784387,0.267089,0.684295,0.109802056666766,0.303686467276167,0.733770535519341
Space,1,84,2520,0.0694444444444444,0.0543650793650794,0.0861111111111111,0.197746244227387,0.448686951690497,0.968131912655125,0.139344,0.430579721822692,0.913217474969663,0.223532127178849,0.601609969385008,1.68661873038352
Space,2,84,2520,0.0162698412698413,0.0114980158730159,0.0214285714285714,0.352727611104036,0.840906062704263,14.7124374129457,0.226927999998215,0.624563768549651,0.999745,0.40503928474736,1.13761164437898,3.51362734539177
