seed_layout,method,n,N_joint_success,median_endpoint_m,P90_endpoint_m,median_depth_m,P90_depth_m,median_phi_deg,P90_phi_deg
BASE,V5M80_VoronoiAOptimalActive,6,10,0.144323709540834,0.186488351916027,0.036444662840809,0.3746845,0.00880602290247268,0.0629651536277187
BASE,V5M80_VoronoiAOptimalActive,8,15,0.0275903883793222,0.0404771275405768,0.00428673441276478,0.0105744112061387,0.0123225678394831,0.0457791244226087
BASE,V5M80_VoronoiAOptimalActive,10,15,0.022814271041163,0.0342025229579758,0.00394489193837705,0.00675115652608083,0.00569995274442192,0.0293456576611
BASE,V5M80_VoronoiAOptimalActive,15,16,0.01875172102895,0.0309636453052469,0.00338219406446422,0.00482087341695403,0.00613244535737234,0.0412536150377179
BASE,V5M80_VoronoiAOptimalActive,20,16,0.0201133342511528,0.030795179921055,0.00377823996015353,0.00471321218595722,0.00613835364390969,0.0429041925051621
BASE,V5M80_SpaceMaximin,6,10,0.144323709540834,0.186488351916027,0.036444662840809,0.3746845,0.00880602290247268,0.0629651536277187
BASE,V5M80_SpaceMaximin,8,12,0.0149532297858397,0.0257674996950635,0.0272862104414593,0.0727723137168593,0.0198885493484914,0.0702171174186788
BASE,V5M80_SpaceMaximin,10,11,0.0129409762942123,0.0228357174442321,0.0275395608353539,0.073735517695327,0.0215302008551692,0.0674189541710177
BASE,V5M80_SpaceMaximin,15,13,0.0150016546975106,0.028587027073523,0.0235045835044992,0.0505487196232067,0.0175706039564334,0.0701750067615023
BASE,V5M80_SpaceMaximin,20,13,0.012732711339994,0.023857564574765,0.0219300817195632,0.0566810217383381,0.0163243787332297,0.0695881308725746
SHIFT_X_P2,V5M80_VoronoiAOptimalActive,6,5,0.144016349198168,0.522876354405774,0.0720092764862416,0.306084525740963,0.0271080783058117,0.180607235189805
SHIFT_X_P2,V5M80_VoronoiAOptimalActive,8,15,0.0270168633754189,0.0349709330360427,0.00398689037973998,0.0137675688413391,0.0135204976307603,0.067197298570818
SHIFT_X_P2,V5M80_VoronoiAOptimalActive,10,16,0.0260910607057128,0.0361831517730656,0.00381478835068883,0.00797016594504873,0.00990705992920483,0.0254538315801653
SHIFT_X_P2,V5M80_VoronoiAOptimalActive,15,16,0.022673561386059,0.0315916794200672,0.00316154296381777,0.00631411671402893,0.00679363630446517,0.0385066852142408
SHIFT_X_P2,V5M80_VoronoiAOptimalActive,20,16,0.0228202883043108,0.0316479503800789,0.00316136131089584,0.00539357479366132,0.00646627225297891,0.0400281081828489
SHIFT_X_P2,V5M80_SpaceMaximin,6,5,0.144016349198168,0.522876354405774,0.0720092764862416,0.306084525740963,0.0271080783058117,0.180607235189805
SHIFT_X_P2,V5M80_SpaceMaximin,8,12,0.0129337566882318,0.0324966334121389,0.0236123601136129,0.0756181642834529,0.0250528077457943,0.0402052403591995
SHIFT_X_P2,V5M80_SpaceMaximin,10,12,0.0100486730683968,0.0227223431320581,0.0210876212139501,0.0758514362639195,0.023562389471408,0.0419442948796415
SHIFT_X_P2,V5M80_SpaceMaximin,15,13,0.00997004245532247,0.0250871757495459,0.0220826728783604,0.0603956208845269,0.018025452259086,0.0399044328202933
SHIFT_X_P2,V5M80_SpaceMaximin,20,11,0.00929639960018677,0.0293647136183635,0.0180706354595995,0.0649236596954073,0.0123734887542923,0.0374556160303711
SHIFT_X_M2,V5M80_VoronoiAOptimalActive,6,8,0.0827498509365125,0.228080195738812,0.0310637682566767,0.428269709984264,0.0280601981694107,0.129504836280151
SHIFT_X_M2,V5M80_VoronoiAOptimalActive,8,15,0.0224975065408342,0.0358161775988158,0.00482111173076916,0.00891743067134398,0.00540952523291338,0.0395495066060949
SHIFT_X_M2,V5M80_VoronoiAOptimalActive,10,16,0.0239279424648772,0.0401998309299567,0.00312653508408417,0.00500441293181375,0.00691002576464683,0.0171014307469477
SHIFT_X_M2,V5M80_VoronoiAOptimalActive,15,16,0.0197444648689157,0.0311225746027084,0.00290489903260382,0.00485011045152628,0.0061297600456669,0.0184235319121085
SHIFT_X_M2,V5M80_VoronoiAOptimalActive,20,16,0.0197509159205546,0.0316193879021993,0.00292110008299007,0.00479385927949872,0.0063237491632151,0.0179330094683303
SHIFT_X_M2,V5M80_SpaceMaximin,6,8,0.0827498509365125,0.228080195738812,0.0310637682566767,0.428269709984264,0.0280601981694107,0.129504836280151
SHIFT_X_M2,V5M80_SpaceMaximin,8,10,0.015242809309394,0.0373521809672282,0.0202191416996753,0.0802921532539058,0.0201716167250088,0.0699112866300382
SHIFT_X_M2,V5M80_SpaceMaximin,10,10,0.0149118246104496,0.0305044881996116,0.0193711658272041,0.0695226856767188,0.0214872675797819,0.0632675301461809
SHIFT_X_M2,V5M80_SpaceMaximin,15,13,0.0175848195760074,0.0298252283777971,0.0178780151799224,0.0463936644724389,0.0180540067400728,0.062480385207369
SHIFT_X_M2,V5M80_SpaceMaximin,20,14,0.0180459029063905,0.0279720961377495,0.0177583573599127,0.0444869648038955,0.0137591872637586,0.0566873456831836
SHIFT_Y_P2,V5M80_VoronoiAOptimalActive,6,5,0.0803088975056518,0.248214112120073,0.0791765408902516,0.238848093918001,0.0480333170941352,0.104345949333408
SHIFT_Y_P2,V5M80_VoronoiAOptimalActive,8,15,0.0233757509563258,0.032917942496238,0.00485388214042732,0.0131445780691182,0.0113208930090139,0.0587732413290993
SHIFT_Y_P2,V5M80_VoronoiAOptimalActive,10,16,0.0207905587850379,0.0308996456664851,0.00286646672477708,0.00618153776438629,0.0111585509566297,0.0241133334222852
SHIFT_Y_P2,V5M80_VoronoiAOptimalActive,15,16,0.0186002157679689,0.029393474457663,0.00310555573129956,0.00436171481566694,0.00608445711910477,0.0138683479710168
SHIFT_Y_P2,V5M80_VoronoiAOptimalActive,20,16,0.0186243890433824,0.0300210835424421,0.00337685367735213,0.00462170055652622,0.00646041262188035,0.0139944299895544
SHIFT_Y_P2,V5M80_SpaceMaximin,6,5,0.0803088975056518,0.248214112120073,0.0791765408902516,0.238848093918001,0.0480333170941352,0.104345949333408
